,Calories,Total_Fat,Total_Carbs,Protein,Saturated_Fat,Dietary_Fiber,Calcium,Total_Sugars,Iron,Cholesterol,Vitamin_D,Potassium,Sodium,Time,Price
spicy-crispy-chicken-sandwich,530.0,26.0,48.0,27.0,4.0,2.0,30.0,9.0,2.5,65.0,0.0,440.0,1320.0,1.0,6.09
big-mac,550.0,30.0,45.0,25.0,11.0,3.0,120.0,9.0,4.5,80.0,0.0,380.0,1010.0,1.0,5.99
chicken-mcnuggets-4-piece,170.0,10.0,10.0,9.0,1.5,0.0,6.0,0.0,0.5,25.0,0.0,140.0,330.0,1.0,2.49
quarter-pounder-with-cheese,520.0,26.0,42.0,30.0,12.0,2.0,190.0,10.0,4.0,95.0,0.0,420.0,1140.0,1.0,5.99
double-quarter-pounder-with-cheese,740.0,42.0,43.0,48.0,20.0,2.0,200.0,10.0,6.0,165.0,0.0,660.0,1360.0,1.0,7.39
deluxe-quarter-pounder-with-cheese,630.0,37.0,44.0,30.0,14.0,3.0,200.0,11.0,4.5,105.0,0.0,500.0,1210.0,1.0,7.39
mcdouble,400.0,20.0,33.0,22.0,9.0,2.0,100.0,7.0,3.5,70.0,0.0,330.0,920.0,1.0,3.09
bacon-quarter-pounder-with-cheese,630.0,35.0,43.0,36.0,15.0,3.0,190.0,10.0,4.5,115.0,0.0,490.0,1470.0,1.0,7.59
cheeseburger,300.0,13.0,32.0,15.0,6.0,2.0,100.0,7.0,3.0,40.0,0.0,220.0,720.0,1.0,1.99
double-cheeseburger,450.0,24.0,34.0,25.0,11.0,2.0,180.0,7.0,3.5,85.0,0.0,350.0,1120.0,1.0,3.19
hamburger,250.0,9.0,31.0,12.0,3.5,1.0,20.0,6.0,3.0,30.0,0.0,200.0,510.0,1.0,1.79
spicy-deluxe-crispy-chicken-sandwich,530.0,26.0,49.0,27.0,4.0,2.0,30.0,10.0,2.5,65.0,0.0,510.0,1200.0,1.0,7.09
crispy-chicken-sandwich,470.0,20.0,46.0,26.0,5.0,1.0,30.0,9.0,2.0,70.0,0.0,420.0,1140.0,1.0,6.09
deluxe-crispy-chicken-sandwich,530.0,26.0,48.0,27.0,4.0,2.0,30.0,10.0,2.5,65.0,0.0,490.0,1050.0,1.0,7.09
mcchicken,400.0,21.0,39.0,14.0,3.5,1.0,20.0,5.0,2.5,40.0,0.0,320.0,560.0,1.0,2.69
filet-o-fish,390.0,19.0,39.0,16.0,4.0,2.0,60.0,5.0,2.0,40.0,0.0,300.0,580.0,1.0,5.89
